,race,gender,faction,essential
Ancotar,Altmer,Male,Mages Guild,Yes
Angalmo,Altmer,Male,Mages Guild,No
Ardaline,Altmer,Female,Mages Guild,Yes
Arquen,Altmer,Female,Dark Brotherhood,Yes
Arterion,Altmer,Male,None,No
Aryarie,Altmer,Female,Mages Guild,Yes
Atraena,Altmer,Female,Imperial City,No
Calindil,Altmer,Male,None,No
Caminalda,Altmer,Female,Necromancer,Yes
Carahil,Altmer,Female,Mages Guild,Yes
Caranya,Altmer,Female,Mages Guild,Yes
Celedaen,Altmer,Male,Order of the Black Worm,No
Eilonwy,Altmer,Female,Mages Guild,No
Elante of Alinor,Altmer,Female,None,No
Elidor,Altmer,Male,Fighters Guild,No
Enrion,Altmer,Male,None,No
Erissare Arenim,Altmer,Female,None,No
Errandil,Altmer,Male,Nine Divines,No
Faelian,Altmer,Male,None,No
Falcar,Altmer,Male,Mages Guild,Yes
Gilgondorin,Altmer,Male,Bravil,No
Henantier,Altmer,Male,Mages Guild,No
Hindaril,Altmer,Male,Vampire,No
Redwater Slough,Unknown,Unknown,None,Unknown
Hlidara Mothril,Altmer,Female,None,No
Mankar Camoran (Oblivion),Altmer,Male,Mythic Dawn,Unknown
Mannimarco (Oblivion),Altmer,Male,Order of the Black Worm,No
Merandil,Altmer,Male,None,No
Mirie,Altmer,Female,None,Yes
Ocato,Altmer,Male,Mages Guild,Unknown
Ohtimbar,Altmer,Male,Fighters Guild,No
Orintur,Altmer,Male,Mages Guild,No
Ormil,Altmer,Male,Imperial City,No
Palonirya,Altmer,Female,None,No
Raven Camoran,Altmer,Male,Mythic Dawn,No
Ruma Camoran,Altmer,Female,Mythic Dawn,No
Seridur,Altmer,Male,Order of the Virtuous Blood,Unknown
Sinderion,Altmer,Male,Skingrad,No
Tandilwe,Altmer,Female,Nine Divines,Unknown
Termanwe (Oblivion),Altmer,Female,Sanguine,Yes
Umbacano (Oblivion),Altmer,Male,None,Unknown
Volanaro (Oblivion),Altmer,Male,Mages Guild,No
Voranil,Altmer,Male,Cheydinhal,No
Riverview (Oblivion),Unknown,Unknown,None,Unknown
Ajum-Kajin,Argonian,Male,Leyawiin,No
Amusei,Argonian,Male,Imperial City,Yes
Bejeen,Argonian,Female,None,No
Dar Jee,Argonian,Male,None,No
Geel,Argonian,Male,Blackwood Company,Yes
Hears-Voices-in-The-Air,Argonian,Male,Blackwood Company,No
Jee-Tah,Argonian,Male,Blackwood Company,No
Deeh the Scalawag,Argonian,Male,None,No
Deetsan,Argonian,Female,Mages Guild,Yes
Dreet-Lai,Argonian,Male,None,No
Er-Teeus,Argonian,Male,None,Yes
Grey-Throat (Oblivion),Argonian,Male,Order of the Virtuous Blood,No
Hal-Liurz,Argonian,Female,Skingrad,Yes
Hides-His-Heart,Argonian,Male,None,No
Jeelius,Argonian,Male,Nine Divines,No
Jeetum-Ze,Argonian,Male,Blackwood Company,Yes
Kud-Ei,Argonian,Female,Mages Guild,Yes
Ocheeva,Argonian,Female,Dark Brotherhood,Yes
On-Staya Sundew,Argonian,Female,None,No
Quill-Weave,Argonian,Female,Anvil,Yes
Rana (Oblivion),Argonian,Female,Blackwood Company,Yes
Sakeepa,Argonian,Male,Aleswell,No
Aleswell (Oblivion),Unknown,Unknown,None,Unknown
Saliith,Argonian,Male,None,No
Scar-Tail,Argonian,Male,None,No
Bogwater,Unknown,Unknown,None,Unknown
Sings-Like-Thunder,Argonian,Male,Blackwood Company,No
Skaleel,Argonian,Female,Mages Guild,Yes
Vahtacen (Oblivion),Unknown,Unknown,None,Unknown
Tar-Meena,Argonian,Female,Mages Guild,Yes
Teinaava,Argonian,Male,Dark Brotherhood,Yes
Tooth-in-the-Sea,Argonian,Male,None,No
Tun-Zeeus,Argonian,Male,None,No
Usheeja,Argonian,Male,None,No
Weebam-Na,Argonian,Male,None,No
Witseidutsei,Argonian,Female,None,No
Adanrel,Bosmer,Female,Imperial Trading Company,No
Alawen,Bosmer,Female,None,No
Adoring Fan (Oblivion),Bosmer,Male,Imperial City,No
Baeralorn,Bosmer,Male,Mages Guild,No
Bothiel (Oblivion),Bosmer,Female,Mages Guild,Yes
Carwen,Bosmer,Female,Thieves Guild,No
